feature,importance
return_1d,0.1006463855767446
sma_7_ratio,0.0796030523783523
rsi_14,0.07334382576999758
trend_strength_30d,0.07295094876429176
sma_30_ratio,0.068819487659339
return_30d,0.06865559639623686
return_7d,0.0655559113449367
intraday_range,0.06539842714408824
volatility_30d,0.06378041426672858
volatility_7d,0.06102015287614568
momentum_14d,0.05821954805916485
distance_to_52w_high,0.05686513093209701
volume_change_1d,0.05557352201139647
volume_zscore_30d,0.05502314935099322
momentum_30d,0.054544447469487264
